Year,GDP,Comments
1960,22502.07323,Monitoring starts
1961,24373.1344,
1962,21559.88869,
1963,21251.2838,
1964,21852.94983,
1965,20764.88062,
1966,22915.76925,GE factory announced
1967,22849.08189,
1968,20678.59664,
1969,19968.81867,
1970,20996.58641,GE factory begins production
1971,20069.35074,
1972,21305.3446,
1973,22273.72443,
1974,20609.11441,Major reforms
1975,34249.0254,
1976,30446.18476,Earthquake
1977,32746.27686,
1978,31260.83283,
1979,31592.91967,
1980,33664.82711,
1981,34465.70566,
1982,31547.5842,
1983,31040.83076,King dies. Queen takes over
1984,32454.99396,
1985,32315.37201,
1986,32925.89118,Queen abdicates
1987,30915.35428,
1988,32766.5371,Oil discovered
1989,31892.96525,
1990,32067.53038,
1991,34672.40845,First oil well starts
1992,26937.38241,
1993,26667.04898,War begins
1994,28396.70096,
1995,24656.58583,War ends
1996,26950.02214,
1997,25107.10105,
1998,24689.07414,
1999,25288.9578,
2000,25798.6625,
2001,26162.31163,
2002,25749.00059,
2003,26772.9731,
2004,25919.32523,
2005,28636.76493,
2006,27365.40318,
2007,24815.98308,
2008,25846.89922,
2009,25071.8944,
2010,25585.2424,Monitoring ends
